"x" "y"
-8161665 1025594
NA NA
-8161665 1025594
-8117566 1152188
-8051552 1250946
-7990941 1311392
-7939891 1328833
NA NA
-8240856 1272134
-8144623 1277182
-8030372 1358135
-8011537 1375309
-8010083 1376928
-7954733 1391742
-7917937 1348110
-7939891 1328833
NA NA
-8489099 1006210
-8441601 1055389
-8414392 1075677
-8419304 1102656
-8420325 1138992
-8382074 1199581
-8318529 1241118
-8292525 1229174
-8292806 1214027
-8274621 1216644
-8241226 1272323
-8240856 1272134
NA NA
-8612415 969405
-8561580 898305
-8541974 891245
-8564547 952988
-8489099 1006210
NA NA
-8773054 160069
-8798688 135047
-8863037 96013
-8881929 103317
-8915421 72202
-8920306 -2691
-8955277 -54144
-8948102 -70505
-8996806 -103559
-8994707 -190938
NA NA
-5756203 -113179
-5701287 -7915
-5618665 68738
-5555368 145714
-5581091 196822
-5631032 222903
-5643494 238400
-5694730 417964
-5728777 481668
-5734466 455031
-5744301 460460
-5753485 449392
NA NA
-5929401 244125
-5862328 266530
-5754538 448925
-5753485 449392
NA NA
-6078349 259380
-6009612 245178
-5971114 254280
-5927328 248242
-5929401 244125
NA NA
-6286238 216496
-6223994 217179
-6238932 261053
-6218337 274861
-6118181 290579
-6078349 259380
NA NA
-6567878 148222
-6534233 142811
-6511412 157377
-6472792 172256
-6392887 210089
-6343539 213528
-6286238 216496
NA NA
-6567878 148222
-6638101 205577
NA NA
-6663396 396988
-6666611 262387
-6649543 221972
-6638101 205577
NA NA
-6691658 583198
-6681702 527107
-6684610 500801
-6648089 477171
-6633897 422611
-6663396 396988
NA NA
-6691658 583198
-6709160 583352
-6760707 580028
NA NA
-6760707 580028
-6753347 537751
-6815438 503533
-6921660 456675
-6962225 457109
-6985914 429246
-7004621 397359
-7062387 434603
-7075864 434386
-7118259 434450
-7174598 460889
-7191143 460518
-7195594 470411
NA NA
-7195594 470411
-7213715 470846
-7149831 385429
-7115536 273622
-7053203 256878
-7112290 220051
-7163781 166379
-7254222 107923
-7300483 82069
-7308245 110060
-7386664 86923
-7444150 136126
NA NA
-6286238 216496
-6310884 225654
NA NA
